generation,source,target,fitness,gain
12,353,367,108.989136,2.315659
12,269,367,108.989136,2.315659
12,332,368,106.496750,2.892365
12,353,368,106.496750,2.892365
12,346,369,109.351387,2.555847
12,345,369,109.351387,2.555847
12,304,370,106.909485,0.262756
12,354,370,106.909485,0.262756
12,247,371,107.529915,1.198959
12,350,371,107.529915,1.198959
12,349,372,108.353081,-1.376282
12,357,372,108.353081,-1.376282
12,342,373,109.577339,5.024666
12,340,373,109.577339,5.024666
12,332,374,106.851067,1.185883
12,354,374,106.851067,1.185883
12,350,375,108.000511,3.053535
12,353,375,108.000511,3.053535
12,300,376,107.092163,-0.038940
12,335,376,107.092163,-0.038940
12,342,377,106.807320,3.595650
12,247,377,106.807320,3.595650
12,323,378,104.881767,-3.120277
12,354,378,104.881767,-3.120277
12,342,379,106.292488,0.796661
12,217,379,106.292488,0.796661
12,247,380,110.441315,4.186691
12,330,380,110.441315,4.186691
12,340,381,110.746414,1.933517
12,312,381,110.746414,1.933517
12,345,382,107.765785,2.278526
12,300,382,107.765785,2.278526
12,353,383,107.155167,1.603638
12,329,383,107.155167,1.603638
12,345,384,108.617996,1.757294
12,304,384,108.617996,1.757294
12,304,385,108.772186,1.461273
12,340,385,108.772186,1.461273
12,311,386,104.223061,-3.785469
12,300,386,104.223061,-3.785469
12,357,387,108.577682,0.000000
12,357,387,108.577682,0.000000
12,327,388,108.514847,0.045395
12,312,388,108.514847,0.045395
12,327,389,108.366089,1.113907
12,330,389,108.366089,1.113907
12,354,390,106.263176,0.989891
12,247,390,106.263176,0.989891
13,362,391,105.996887,-0.346687
13,313,391,105.996887,-0.346687
13,345,392,107.157936,3.055473
13,342,392,107.157936,3.055473
13,365,393,109.344872,2.232178
13,374,393,109.344872,2.232178
13,379,394,109.346535,2.097084
13,313,394,109.346535,2.097084
13,346,395,110.660263,3.922157
13,390,395,110.660263,3.922157
13,304,396,106.962158,-0.998360
13,387,396,106.962158,-0.998360
13,342,397,107.657379,5.829681
13,353,397,107.657379,5.829681
13,353,398,109.294159,6.081673
13,300,398,109.294159,6.081673
13,353,399,106.977692,2.030716
13,350,399,106.977692,2.030716
13,362,400,103.475395,-1.205864
13,378,400,103.475395,-1.205864
13,358,401,107.098457,2.956505
13,353,401,107.098457,2.956505
13,300,402,111.475349,6.202065
13,354,402,111.475349,6.202065
13,379,403,112.414154,8.353653
13,353,403,112.414154,8.353653
13,327,404,105.555733,-1.696449
13,330,404,105.555733,-1.696449
13,329,405,107.606361,0.670860
13,300,405,107.606361,0.670860
13,379,406,109.426414,5.365913
13,353,406,109.426414,5.365913
13,327,407,106.268585,-0.216225
13,345,407,106.268585,-0.216225
13,342,408,108.650520,4.049919
13,365,408,108.650520,4.049919
13,304,409,110.496811,4.584763
13,362,409,110.496811,4.584763
13,390,410,111.298897,4.918938
13,368,410,111.298897,4.918938
13,390,411,103.464264,-3.354485
13,365,411,103.464264,-3.354485
13,342,412,105.267258,0.666656
13,365,412,105.267258,0.666656
13,345,413,108.265266,0.973045
13,313,413,108.265266,0.973045
13,378,414,105.005379,-1.391899
13,330,414,105.005379,-1.391899
13,345,415,110.570328,3.694145
13,365,415,110.570328,3.694145
13,354,416,103.864014,-0.025284
13,353,416,103.864014,-0.025284
13,387,417,106.383904,-0.879982
13,354,417,106.383904,-0.879982
13,372,418,109.167038,0.701660
13,387,418,109.167038,0.701660
13,346,419,110.408669,3.613129
13,345,419,110.408669,3.613129
13,353,420,111.096016,9.268318
13,342,420,111.096016,9.268318
14,362,421,107.289429,2.415428
14,412,421,107.289429,2.415428
14,342,422,107.505760,4.351952
14,362,422,107.505760,4.351952
14,407,423,103.345108,-4.175278
14,385,423,103.345108,-4.175278
14,400,424,105.407761,0.523819
14,379,424,105.407761,0.523819
14,300,425,106.740486,1.296013
14,379,425,106.740486,1.296013
14,327,426,108.801102,2.256943
14,368,426,108.801102,2.256943
14,374,427,108.159706,1.506477
14,358,427,108.159706,1.506477
14,342,428,103.206352,-1.739815
14,350,428,103.206352,-1.739815
14,405,429,105.247925,-2.036331
14,396,429,105.247925,-2.036331
14,300,430,103.106155,-0.705681
14,361,430,103.106155,-0.705681
14,413,431,110.684700,4.253838
14,300,431,110.684700,4.253838
14,379,432,110.902145,4.460114
14,327,432,110.902145,4.460114
14,414,433,106.173920,1.430862
14,362,433,106.173920,1.430862
14,379,434,108.332047,1.579285
14,346,434,108.332047,1.579285
14,416,435,104.517426,1.071815
14,361,435,104.517426,1.071815
14,407,436,107.695297,1.135468
14,374,436,107.695297,1.135468
14,346,437,101.575386,-5.165428
14,407,437,101.575386,-5.165428
14,405,438,108.249237,2.147827
